2021-12-10 10:35:50,111 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:35:56,402 | ERROR | crawling | crawling_main() | crawling | C002/202/2209/news | Exception 'nttId'
2021-12-10 10:35:56,402 | ERROR | crawling | crawling_main() | crawling | C002/202/2209/news | Exception 'nttId'
2021-12-10 10:36:12,669 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 크롤링 시작
2021-12-10 10:36:12,669 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 크롤링 시작
2021-12-10 10:36:18,860 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 1 페이지
2021-12-10 10:36:18,860 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 1 페이지
2021-12-10 10:36:23,901 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 크롤링 대상 : 20 건
2021-12-10 10:36:23,901 | INFO | crawling | crawling_main() | crawling | C002/202/2209/release | 크롤링 대상 : 20 건
2021-12-10 10:36:30,176 | ERROR | crawling | crawling_main() | crawling | C002/202/2209/release | Exception 'nttId'
2021-12-10 10:36:30,176 | ERROR | crawling | crawling_main() | crawling | C002/202/2209/release | Exception 'nttId'
2021-12-10 10:37:17,860 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:37:17,860 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:37:24,050 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:37:24,050 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:37:29,075 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:37:29,075 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:37:54,064 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 시작
2021-12-10 10:37:54,064 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 시작
2021-12-10 10:37:54,363 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 1 페이지
2021-12-10 10:37:54,363 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 1 페이지
2021-12-10 10:37:54,375 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:37:54,375 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:39:42,891 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:39:42,891 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:39:49,120 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:39:49,120 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:39:54,146 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:39:54,146 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:45:40,912 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:45:40,912 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:45:47,103 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:45:47,103 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:45:52,118 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:45:52,118 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:46:20,523 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:46:20,523 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:46:26,728 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:46:26,728 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:46:31,755 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:46:31,755 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:47:32,657 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 5 건
2021-12-10 10:47:32,657 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 5 건
2021-12-10 10:47:36,985 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 2 페이지
2021-12-10 10:47:36,985 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 2 페이지
2021-12-10 10:47:36,994 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:47:36,994 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:47:37,021 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:47:37,021 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 성공 : 0 건
2021-12-10 10:47:39,892 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001EC9C563DC8>: Failed to establish a new connection: [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다')': /session/3cc6619ca5cdc5142e4b0baff49b354b/window
2021-12-10 10:47:39,892 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001EC9C563DC8>: Failed to establish a new connection: [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다')': /session/3cc6619ca5cdc5142e4b0baff49b354b/window
2021-12-10 10:48:17,835 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 시작
2021-12-10 10:48:17,835 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 시작
2021-12-10 10:48:18,082 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 1 페이지
2021-12-10 10:48:18,082 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 1 페이지
2021-12-10 10:48:18,091 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:48:18,091 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
